Latitude,Longitude
51.819124,-130.864907
51.823018,-130.926193
51.84396,-130.954329
51.864893,-130.982488
51.885817,-131.010672
51.906732,-131.038878
51.927638,-131.067108
51.948535,-131.095362
51.952312,-131.156799
51.973185,-131.185101
51.994049,-131.213427
52.014904,-131.241777
52.03575,-131.270149
52.056586,-131.298546
52.077414,-131.326967
52.098233,-131.355412
52.119043,-131.38388
52.139843,-131.412372
52.160634,-131.440889
52.181416,-131.469429
52.202189,-131.497993
52.222953,-131.526582
52.243708,-131.555194
52.264453,-131.58383
52.285189,-131.612491
52.305917,-131.641176
52.326635,-131.669884
52.347343,-131.698618
52.385275,-131.694199
52.405972,-131.72298
52.426659,-131.751785
52.447336,-131.780616
52.468005,-131.809469
52.488665,-131.838348
52.509314,-131.867251
52.529955,-131.896179
52.550587,-131.925131
52.571208,-131.954108
52.591822,-131.983109
52.612426,-132.012136
52.63302,-132.041187
52.653604,-132.070262
52.67418,-132.099363
52.694747,-132.128488
52.715303,-132.157637
52.735851,-132.186813
52.756389,-132.216013
52.776918,-132.245238
52.797437,-132.274487
52.817948,-132.303762
52.838449,-132.333062
52.85894,-132.362387
52.879422,-132.391738
52.899894,-132.421114
52.920358,-132.450515
52.940811,-132.479941
52.961256,-132.509392
52.981691,-132.53887
53.019528,-132.535159
53.03995,-132.564686
53.060363,-132.59424
53.080767,-132.623818
53.101161,-132.653423
53.121546,-132.683054
53.141921,-132.71271
53.162287,-132.742391
53.182643,-132.772099
53.20299,-132.801833
53.223328,-132.831592
53.243655,-132.861378
53.263973,-132.89119
53.284283,-132.921028
53.304582,-132.950892
53.324872,-132.980782
53.345153,-133.010699
53.382941,-133.0074
53.403209,-133.03737
53.423468,-133.067365
53.461248,-133.06412
53.481495,-133.094169
53.501732,-133.124244
53.539504,-133.121052
53.559729,-133.151181
53.579945,-133.181337
53.617709,-133.178199
53.637913,-133.208408
53.658108,-133.238645
53.695865,-133.235561
53.716048,-133.265851
53.753799,-133.262795
53.773971,-133.293139
53.794134,-133.32351
53.831878,-133.320508
53.852029,-133.350935
53.872171,-133.381388
53.909909,-133.37844
53.93004,-133.408948
53.950162,-133.439484
53.987893,-133.436591
54.008005,-133.467181
54.028106,-133.4978
54.065831,-133.49496
54.085922,-133.525634
54.106005,-133.556337
54.143725,-133.553552
54.163797,-133.58431
54.18386,-133.615096
54.221575,-133.612364
54.241628,-133.643206
54.261671,-133.674076
54.299382,-133.671398
54.319415,-133.702325
54.339442,-133.73328
54.377148,-133.730656
54.397163,-133.761668
54.41717,-133.792708
54.454872,-133.790137
54.47487,-133.821234
54.51257,-133.818688
54.532559,-133.849842
54.552539,-133.881025
54.590236,-133.878532
54.610207,-133.909772
54.63017,-133.941042
54.667864,-133.938601
54.687819,-133.969928
54.707766,-134.001285
54.745458,-133.998896
54.765397,-134.03031
54.785326,-134.061755
54.823017,-134.059417
54.84294,-134.090919
